Date,Open,High,Low,Close,Volume,Num_deals,Value
2011-06-25,6449.49,6456.88,6377.73,6456.88,141109238,73152,2735900044.30
2011-06-22,6462.41,6499.46,6440.20,6449.49,134810033,82088,3097669193.70
2011-06-21,6377.71,6479.57,6377.71,6462.41,157910887,81654,3408532736.20
2011-06-20,6442.70,6442.70,6360.66,6377.71,150338335,87637,3328347510.25
2011-06-19,6501.25,6520.40,6433.50,6442.70,130146371,81459,2970884243.50
2011-04-23,6574.66,6622.79,6554.78,6590.64,269791342,122736,6280431816.95
2011-04-20,6525.07,6578.50,6494.08,6574.66,222019823,112178,5576562201.15
2011-04-19,6533.34,6592.99,6478.13,6525.07,250456586,122103,6415117511.75
2011-04-18,6531.87,6564.70,6505.80,6533.34,217286474,113540,5020339413.95
2011-04-17,6604.97,6605.46,6512.17,6531.87,248868709,135263,5684668185.50
2011-04-16,6604.16,6632.62,6589.13,6604.97,213229038,112696,4906040856.25
2011-04-13,6590.65,6605.41,6539.47,6604.16,264393756,121551,5733599974.80
2011-04-12,6611.73,6617.14,6583.24,6590.65,232505980,112352,4469101910.55
2011-04-11,6606.69,6629.41,6587.60,6611.73,231940311,125380,4971031690.45
2011-04-10,6608.60,6615.99,6574.62,6606.69,227367323,113588,4693737631.50
2011-04-09,6574.63,6635.28,6574.63,6608.60,210448686,106348,4757012636.55
2011-04-06,6548.42,6579.46,6532.19,6574.63,179181482,92562,3819988967.55
2011-06-18,6546.06,6546.06,6489.22,6501.25,133321955,79057,3053867501.20
2011-06-15,6568.51,6600.93,6540.63,6546.06,195217832,91574,4132871744.00
2011-06-14,6584.58,6626.44,6556.88,6568.51,195463673,101543,4388203836.95
2011-06-13,6549.42,6597.98,6549.42,6584.58,167577902,89248,3916271469.05
2011-06-12,6509.48,6552.89,6509.29,6549.42,181502868,97367,3848048663.85
2011-06-11,6540.65,6540.65,6414.04,6509.48,191584591,104178,4249086876.50
2011-06-08,6614.13,6614.13,6527.97,6540.65,208533085,112732,4477842387.35
2011-06-07,6657.63,6670.49,6600.30,6614.13,248464153,115132,5423962317.50
2011-04-05,6605.92,6627.91,6536.02,6548.42,247518094,128505,5516506835.30
2011-04-04,6616.57,6619.75,6568.79,6605.92,247139965,122137,5257350281.20
2011-04-03,6622.65,6628.39,6587.02,6616.57,223932698,107976,4771407543.30
2011-04-02,6562.85,6636.90,6559.28,6622.65,232277628,105619,5416203267.45
2011-03-30,6519.13,6564.80,6508.37,6562.85,211192282,100195,4735740673.40
2011-03-29,6508.28,6530.81,6503.98,6519.13,203396959,96894,4031322580.70
2011-03-28,6519.76,6539.82,6487.17,6508.28,234497582,105244,4343890379.65
2011-06-06,6626.94,6662.07,6617.21,6657.63,238102214,103756,5265347639.30
2011-06-05,6624.95,6642.13,6599.28,6626.94,249328673,113166,5453198120.90
2011-03-27,6506.01,6545.85,6502.48,6519.76,279816168,110090,5130680003.20
2011-03-26,6362.42,6508.88,6361.15,6506.01,294159089,112282,5887784355.70
2011-03-23,6344.69,6366.90,6300.92,6362.42,154506099,80678,3225461887.90
2011-03-22,6357.37,6407.38,6340.94,6344.69,215524791,105504,4378926661.75
2011-03-21,6343.79,6374.69,6317.94,6357.37,238355748,102776,4526002104.90
2011-03-20,6069.94,6413.18,6069.94,6343.79,266148842,111108,5853991201.40
2011-03-16,6011.85,6120.67,6011.85,6069.94,225875148,100037,4695215934.20
2011-03-15,6230.70,6230.70,5960.65,6011.85,257363250,125479,5381986779.35
2011-03-14,6309.63,6309.63,6185.89,6230.70,301683627,123087,5827454624.70
2011-03-13,6297.01,6397.93,6276.16,6309.63,352789380,142208,6645969198.90
