Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2010-03-03,6444.69,6479,6444.39,6478.58,122715323,6478.58,70394,2767622979
2010-03-02,6424.24,6457.37,6412.3,6444.69,111123272,6444.69,68561,2492147746
2010-03-01,6437.5,6447.05,6414.01,6424.24,113453795,6424.24,65864,2426513799
2010-02-28,6473.05,6473.97,6431.24,6437.5,113806306,6437.5,70237,2375780836
2010-02-27,6465.69,6477.31,6455,6473.05,104140180,6473.05,65529,2167205207
2010-02-24,6471.84,6471.84,6430.96,6465.69,109461398,6465.69,70261,2327897530
2010-02-23,6487.19,6496.29,6460.6,6471.84,118968179,6471.84,84661,2583177579
2010-02-22,6479.15,6487.76,6454.16,6487.19,117679679,6487.19,228063,2562900938
2010-02-21,6474.66,6488.27,6456.02,6479.15,135601340,6479.15,79792,2963506153
2010-02-20,6411.44,6474.81,6407.11,6474.66,111047373,6474.66,80499,2655186028
2010-02-17,6382.31,6439.29,6382.31,6411.44,135157568,6411.44,87415,3033678917
2010-02-16,6332.34,6386.76,6328.86,6382.31,137225407,6382.31,99215,3136441096
2010-02-15,6284.68,6332.38,6281.98,6332.34,132487825,6332.34,199370,2978867634
2010-02-14,6269.05,6309.9,6269.05,6284.68,146395107,6284.68,82279,3210024871
2010-02-13,6225.48,6269.79,6221.37,6269.05,129788680,6269.05,78966,2806560209
2010-02-10,6200.69,6229.92,6200.54,6225.48,120585236,6225.48,78613,2738576877
2010-02-09,6222.03,6222.53,6165.6,6200.69,118073431,6200.69,91218,2522792965
2010-02-08,6216.16,6249.62,6206.07,6222.03,111358864,6222.03,247733,2621770351
2010-02-07,6215.71,6228.29,6193.55,6216.16,103828073,6216.16,70637,2340601768
2010-02-06,6281.6,6281.6,6182.76,6215.71,142250230,6215.71,89114,3240783081
2010-02-03,6256.48,6289.03,6256.48,6281.6,104270628,6281.6,76898,2517965807
2010-02-02,6243.02,6266.6,6227.98,6256.48,111081812,6256.48,155988,2899687738
2010-02-01,6252.55,6266.35,6231.75,6243.02,103604097,6243.02,65615,2316035551
2010-01-31,6221.16,6253.93,6211.97,6252.55,126824056,6252.55,71009,2630257555
2010-01-30,6252.71,6252.71,6184.76,6221.16,114440074,6221.16,72274,2542531204
2010-01-27,6256.16,6262.12,6222.55,6252.71,135824690,6252.71,68271,2669828765
2010-01-26,6315.76,6321.77,6248.82,6256.16,136901652,6256.16,73342,2882964391
2010-01-25,6301.94,6342.31,6300.87,6315.76,147143425,6315.76,73429,3151273805
2010-01-24,6295.92,6321.51,6280.88,6301.94,137069815,6301.94,73724,2958563099
2010-01-23,6382.04,6382.04,6252.77,6295.92,173962740,6295.92,86021,3429148008
2010-01-20,6368.8,6423.52,6368.8,6382.04,184119745,6382.04,88061,4515423617
2010-01-19,6409.04,6410.04,6360,6368.8,181350751,6368.8,87688,3760290868
2010-01-18,6393.65,6424.68,6373.7,6409.04,218800811,6409.04,96082,4194270180
2010-01-17,6326.19,6396.49,6307.66,6393.65,156767175,6393.65,76731,3256117305
2010-01-16,6262.83,6332.94,6238.2,6326.19,172499510,6326.19,80781,3421138372
2010-01-13,6266.26,6304.05,6242.21,6262.83,182323814,6262.83,80124,3543438239
2010-01-12,6291.39,6291.39,6238.65,6266.26,140099196,6266.26,69049,2680820382
2010-01-11,6318.14,6318.14,6248.62,6291.39,117497354,6291.39,70524,2808262596
2010-01-10,6321.73,6343.44,6307.55,6318.14,126876127,6318.14,79661,3126038495
2010-01-09,6260.9,6321.73,6260.9,6321.73,132814435,6321.73,77502,3022980102
2010-01-06,6239.1,6269.81,6232.71,6260.9,110933286,6260.9,65908,2563325148
2010-01-05,6201.76,6254.03,6201.76,6239.1,113554497,6239.1,68241,2966438522
2010-01-04,6149.91,6202.32,6134.72,6201.76,90198332,6201.76,55598,2262187715
2010-01-03,6141.63,6152.54,6123.91,6149.91,74912010,6149.91,50553,1717553143
2010-01-02,6121.76,6142.57,6110.43,6141.63,64878169,6141.63,48838,1550578660
2009-12-30,6121.78,6147.1,6082.42,6121.76,93165394,6121.76,64878,2153720818
2009-12-29,6177.75,6189.21,6093.44,6121.78,110232201,6121.78,72679,2590547803
2009-12-28,6254.67,6264.52,6169.25,6177.75,128289046,6177.75,74400,2998992694
